pid,finishing,shotpower,curve,longshots,volleys,freekickaccuracy,penalties,headingaccuracy,positioning,sprintspeed,acceleration,agility,reactions,jumping,stamina,strength,balance,shortpassing,longpassing,crossing,ballcontrol,dribbling,tacticalawareness,vision,standingtackle,slidingtackle,marking,aggression,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning,poten,perfcon,perfcon_vn,perfcon_cn,perfcon_id,perfcon_kr,perfcon_th,fullname,shortname,badged,season,league,overallrating,positions,skillmoves,nation,club,birthday,height,weight,leftfoot,rightfoot,attack,defence,speciality,speciality_vn,speciality_cn,speciality_kr,hidden_score,hidden_score_vn,hidden_score_cn,hidden_score_kr
"6003622",19,33,39,20,22,27,36,71,79,67,66,63,79,79,78,76,76,68,43,19,60,40,72,78,79,76,80,73,11,9,11,10,16,79,"Average","TB","中","Normal","보통","ดปานกลาง","Ricardo Carvalho","R. Carvalho","badged y2006","2006","barclays-premier-league",74,"cb-74",2,"Portugal","Chelsea","18.5.1978(38)","181","79","3","5","2","2","","","","","","","",""
"6004098",59,77,74,70,63,67,71,76,80,79,78,75,74,75,83,67,74,78,75,68,79,67,72,77,74,75,65,75,11,12,12,12,12,82,"Average","TB","中","Normal","보통","ดปานกลาง","Tiago","Tiago","badged y2006","2006","ligue-1",75,"cm-75,cdm-74,cam-74,rm-74",4,"Portugal","Olympique Lyon","2.5.1981(35)","183","75","3","5","2","2","","","","","Prefer long shot (AI)","Sút xa (AI)","重炮手 (AI)","중거리 슛 선호 (AI)"
"6005440",34,64,45,50,29,63,51,68,70,60,68,58,63,73,73,78,63,56,51,57,64,54,78,63,73,67,69,77,13,11,12,12,12,70,"Good","Cao","高","Good","상","ดี","Adama Coulibaly","A. Coulibaly","badged y2006","2006","ligue-2",70,"cb-70",2,"Mali","RC Lens","10.10.1980(36)","186","81","3","5","2","2","","","","","Strong Header","Đánh đầu mạnh","强力头球","강력한 헤딩"
"6020176",68,75,64,68,60,50,74,74,69,72,76,72,73,72,73,63,71,70,59,50,76,65,29,63,27,25,25,63,15,13,16,11,14,76,"Average","TB","中","Normal","보통","ดปานกลาง","Helder Postiga","H. Postiga","badged y2006","2006","liga-portuguesa",70,"st-70,cf-70",2,"Portugal","FC Porto","2.8.1982(34)","179","79","3","5","2","2","","","","","","","",""
"6020801",67,75,80,68,81,80,75,69,75,87,84,87,67,73,76,64,75,77,69,77,86,89,19,82,30,22,19,58,14,15,12,11,13,85,"Good","Cao","高","Good","상","ดี","Cristiano Ronaldo","C. Ronaldo","badged y2006","2006","barclays-premier-league",79,"rw-79,lw-79,rf-78,lf-78",5,"Portugal","Manchester United","5.2.1985(31)","184","75","4","5","3","1","Acrobatic,Freekick Specialist,Technician,Fast runner","Nghệ sĩ,Chuyên gia đá phạt,Vũ công,Tia chớp","杂耍高手,任意球大师,控球大师,飞翼","아크로바틱,프리킥 스페셜리스트,테크니션,날쌘돌이","Diver,Prefer individual play (AI),Impressive Skill","Ăn vạ,Cá nhân (AI),Tinh tế","假摔,独狼 (AI),花式大师","다이버,개인 플레이 선호 (AI),화려한 개인기"
"6025420",81,80,69,70,76,69,74,85,68,73,73,65,66,73,64,73,64,55,45,46,73,68,36,69,41,46,26,47,16,16,16,10,10,77,"Good","Cao","高","Good","상","ดี","Claudio Pizarro","C. Pizarro","badged y2006","2006","bundesliga",73,"st-73,cf-70,cam-67,rf-70",3,"Peru","Bayern Munchen","3.10.1978(38)","184","79","4","5","2","2","Solver","Sát thủ","终结者","해결사","Strong Header","Đánh đầu mạnh","强力头球","강력한 헤딩"
"6025798",74,76,68,65,79,49,74,78,74,74,74,73,57,86,67,74,80,58,32,58,79,74,30,80,34,40,29,67,11,14,11,17,16,80,"Average","TB","中","Normal","보통","ดปานกลาง","Roque Santa Cruz","R. Santa Cruz","badged y2006","2006","bundesliga",72,"cf-72,st-72,cam-69,rf-72",3,"Paraguay","Bayern Munchen","16.8.1981(35)","189","80","4","5","2","2","","","","","Glass Body,Strong Header","Dễ chấn thương,Đánh đầu mạnh","玻璃人,强力头球","유리몸,강력한 헤딩"
"6026709",56,59,58,54,44,71,71,81,81,67,73,68,78,77,75,81,74,69,75,67,69,65,71,77,81,87,82,67,13,13,12,11,12,81,"Good","Cao","高","Good","상","ดี","Rafael Marquez","R. Marquez","badged y2006","2006","liga-bbva",78,"cb-78,cdm-75,sw-78",2,"Mexico","FC Barcelona","13.2.1979(37)","182","73","3","5","2","2","Tanker,Wall of Wail","Chiến binh,Bức tường thép","重量级球员,抢断高手","탱커,통곡의 벽","Impressive Skill,Prefer long pass (AI),Strong Header","Tinh tế,Chuyền dài (AI),Đánh đầu mạnh","花式大师,善于长传 (AI),强力头球","화려한 개인기,긴 패스 선호 (AI),강력한 헤딩"
"6033730",49,57,53,56,57,47,57,76,75,79,68,70,56,66,82,74,75,82,55,48,72,60,60,80,82,76,76,74,13,18,17,18,20,76,"Good","Cao","高","Good","상","ดี","Kim Nam Il","K. Nam Il","badged y2006","2006","k-league-classic",71,"cdm-71,cm-69",2,"Korea Republic","Suwon Samsung","14.3.1977(39)","180","76","4","5","2","2","","","","","Glass Body","Dễ chấn thương","玻璃人","유리몸"
"6046815",43,66,38,64,63,56,42,66,75,70,65,71,67,74,74,77,73,68,71,41,68,39,73,80,72,67,71,71,17,12,13,17,12,74,"Good","Cao","高","Good","상","ดี","Brede Hangeland","B. Hangeland","badged y2006","2006","superliga",70,"cb-70,cdm-70,cm-68",2,"Norway","FC Kobenhavn","20.6.1981(35)","195","85","3","5","2","2","","","","","Strong Header","Đánh đầu mạnh","强力头球","강력한 헤딩"
"6049045",77,72,32,51,66,33,74,70,73,65,62,65,72,71,73,77,67,62,39,47,68,67,16,67,30,24,23,42,16,16,13,17,20,75,"Good","Cao","高","Good","상","ดี","Kris Boyd","K. Boyd","badged y2006","2006","",70,"st-70,cf-68",3,"Scotland","Rest of the World","18.8.1983(33)","183","82","3","5","2","1","Solver","Sát thủ","终结者","해결사","","","",""
"6050327",62,62,67,67,70,62,57,60,73,69,68,73,69,68,78,45,65,69,72,64,77,76,64,69,49,51,69,73,13,9,11,12,14,71,"Good","Cao","高","Good","상","ดี","Steven Pienaar","S. Pienaar","badged y2006","2006","bundesliga",70,"cm-70,rm-71,cam-71,rw-70",4,"South Africa","Borussia Dortmund","17.3.1982(34)","170","66","3","5","3","2","","","","","Impressive Skill,Play maker (AI)","Tinh tế,Kiến tạo (AI)","花式大师,组织型球员 (AI)","화려한 개인기,플레이 메이커 (AI)"
"6103133",69,73,56,71,78,64,75,77,68,76,74,47,63,73,79,80,78,70,51,77,75,71,46,77,44,61,48,81,20,17,13,20,14,74,"Good","Cao","高","Good","상","ดี","Seol Ki Hyeon","S. Ki Hyeon","badged y2006","2006","football-league-championship",71,"cf-71,lf-71",3,"Korea Republic","Reading","8.1.1979(37)","184","73","4","5","2","2","","","","","","","",""
