pid,finishing,shotpower,curve,longshots,volleys,freekickaccuracy,penalties,headingaccuracy,positioning,sprintspeed,acceleration,agility,reactions,jumping,stamina,strength,balance,shortpassing,longpassing,crossing,ballcontrol,dribbling,tacticalawareness,vision,standingtackle,slidingtackle,marking,aggression,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning,poten,perfcon,perfcon_vn,perfcon_cn,perfcon_id,perfcon_kr,perfcon_th,fullname,shortname,badged,season,league,overallrating,positions,skillmoves,nation,club,birthday,height,weight,leftfoot,rightfoot,attack,defence,speciality,speciality_vn,speciality_cn,speciality_kr,hidden_score,hidden_score_vn,hidden_score_cn,hidden_score_kr
"6000027",67,67,74,73,71,70,70,46,77,75,79,76,79,61,78,66,76,79,62,74,80,82,41,77,59,39,52,69,11,14,9,10,15,85,"Average","TB","中","Normal","보통","ดปานกลาง","Joe Cole","J. Cole","badged y2006","2006","barclays-premier-league",76,"lm-76,cam-77,rm-76,cm-73",4,"England","Chelsea","8.11.1981(34)","175","70","4","5","3","1","Technician","Vũ công","控球大师","테크니션","Impressive Skill","Tinh tế","花式大师","화려한 개인기"
"6003395",64,64,68,66,74,68,66,51,78,79,81,77,78,37,81,63,80,70,66,75,79,75,36,75,46,40,47,39,12,12,12,15,15,78,"Good","Cao","高","Good","상","ดี","Shaun Wright-Phillips","S. Wright-Phillips","badged y2006","2006","barclays-premier-league",74,"rw-74,rf-73,st-69",3,"England","Chelsea","25.10.1981(34)","166","71","3","5","2","1","","","","","","","",""
"6006826",67,70,71,64,72,67,81,75,71,68,67,72,72,71,76,73,74,75,74,76,77,72,74,70,69,76,73,72,18,16,19,17,14,76,"Excellent","Rất cao","超高","Excellent","최상","ดดีมาก","Gareth Barry","G. Barry","badged y2006","2006","barclays-premier-league",72,"lm-72,lb-73,cb-73",2,"England","Aston Villa","23.2.1981(35)","183","79","5","3","2","3","","","","","Prefer early cross (AI)","Tạt bóng sớm (AI)","斜传好手 (AI)","斜传好手 (AI)"
"6008473",65,64,78,81,82,74,72,50,69,70,72,75,69,61,64,48,73,84,72,73,84,82,39,82,45,49,38,67,9,13,13,10,13,81,"Good","Cao","高","Good","상","ดี","Tomas Rosicky","T. Rosicky","badged y2006","2006","barclays-premier-league",77,"cam-77,cm-74,rm-75",3,"Czech Republic","Arsenal","4.10.1980(36)","175","67","4","5","3","3","Maestro,Technician","Bậc thầy,Vũ công","节奏大师,控球大师","마에스트로,테크니션","Prefer long shot (AI),Pass master","Sút xa (AI),Chuyên gia chuyền bóng","重炮手 (AI),传球大师","중거리 슛 선호 (AI),패스 마스터"
"6008517",65,65,68,66,63,52,68,70,77,69,70,71,77,65,79,71,69,78,68,62,75,64,58,73,77,74,72,81,12,11,16,12,12,76,"Good","Cao","高","Good","상","ดี","Scott Parker","S. Parker","badged y2006","2006","barclays-premier-league",72,"cm-72,cdm-72,rm-71,cam-72",2,"England","Newcastle United","13.10.1980(35)","175","70","3","5","2","3","","","","","Prefer sliding tackle (AI)","Xoạc bóng (AI)","铲断高手 (AI)","슬라이딩 태클 선호 (AI)"
"6009676",89,84,78,74,80,66,66,75,80,87,87,81,80,72,78,72,77,82,63,66,81,77,40,85,32,26,15,68,12,11,11,11,12,85,"Good","Cao","高","Good","상","ดี","Samuel Eto'o","S. Eto'o","badged y2006","2006","liga-bbva",81,"st-81,cf-81,rf-81",4,"Cameroon","FC Barcelona","10.3.1981(35)","180","74","3","5","2","2","Perfect Striker,Goal Getter,Acrobatic,Cannon Shooter,Fast runner,Solver","Cây săn bàn,Xạ thủ,Nghệ sĩ,Đại pháo,Tia chớp,Sát thủ","完美的进球机器,进球机器,杂耍高手,远射高手,飞翼,终结者","완벽한 공격수,골게터,아크로바틱,캐논 슈터,날쌘돌이,해결사","Impressive Skill","Tinh tế","花式大师","화려한 개인기"
"6011642",71,76,47,69,65,55,63,79,76,72,69,63,64,65,73,76,77,58,51,28,69,67,35,65,34,30,35,63,12,15,16,11,9,75,"Good","Cao","高","Good","상","ดี","James Beattie","J. Beattie","badged y2006","2006","barclays-premier-league",71,"st-71",2,"England","Everton","27.2.1978(38)","185","80","3","5","2","2","","","","","","","",""
"6011918",75,71,50,71,64,39,68,73,73,70,67,68,70,71,77,69,68,67,40,39,69,62,43,70,50,43,32,85,10,14,15,12,9,72,"Good","Cao","高","Good","상","ดี","Kevin Davies","K. Davies","badged y2006","2006","football-league-championship",70,"st-70,cam-67",2,"England","Bolton Wanderers","26.3.1977(39)","183","81","3","5","2","2","","","","","","","",""
"6013130",25,51,33,30,15,26,35,75,77,77,71,69,74,75,78,74,68,61,55,47,63,44,71,73,74,71,72,68,12,11,14,14,14,74,"Good","Cao","高","Good","상","ดี","Wes Brown","W. Brown","badged y2006","2006","barclays-premier-league",71,"cb-71,rb-69",2,"England","Manchester United","13.10.1979(36)","185","74","3","5","2","3","","","","","","","",""
"6013690",83,68,72,60,73,62,85,74,70,78,79,75,72,63,76,63,69,61,37,63,71,57,37,73,16,21,33,22,9,15,11,16,11,79,"Excellent","Rất cao","超高","Excellent","최상","ดดีมาก","Andrew Johnson","A. Johnson","badged y2006","2006","barclays-premier-league",71,"st-71,cf-69,rf-69",3,"England","Everton","10.2.1981(35)","170","70","3","5","2","2","Solver","Sát thủ","终结者","해결사","Diver,Prefer individual play (AI)","Ăn vạ,Cá nhân (AI)","假摔,独狼 (AI)","다이버,개인 플레이 선호 (AI)"
"6013739",72,70,61,62,72,46,70,78,76,73,71,70,72,75,78,76,71,67,63,68,77,61,64,76,66,68,67,80,13,13,16,16,15,73,"Good","Cao","高","Good","상","ดี","Alan Smith","A. Smith","badged y2006","2006","barclays-premier-league",72,"st-72,cm-69,rm-70",2,"England","Manchester United","28.10.1980(35)","176","69","4","5","2","2","","","","","Glass Body","Dễ chấn thương","玻璃人","유리몸"
